Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Decision Tree,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest,Random Forest
No Undersampling,No Undersampling,No Undersampling,No Undersampling,Multiple Undersampling,Multiple Undersampling,Multiple Undersampling,Multiple Undersampling,Standard Undersampling,Standard Undersampling,Standard Undersampling,Standard Undersampling,No Undersampling,No Undersampling,No Undersampling,No Undersampling,Multiple Undersampling,Multiple Undersampling,Multiple Undersampling,Multiple Undersampling,Standard Undersampling,Standard Undersampling,Standard Undersampling,Standard Undersampling
RMSE,MSE,MAE,R-Squared,RMSE,MSE,MAE,R-Squared,RMSE,MSE,MAE,R-Squared,RMSE,MSE,MAE,R-Squared,RMSE,MSE,MAE,R-Squared,RMSE,MSE,MAE,R-Squared
32.97177289172582,1087.1378076235455,26.750608618769146,-1.1851482029011327,31.797187985515738,1011.0611637862264,25.767534857978273,-1.0322340641432683,32.28631418743462,1042.4060838097419,26.140926810080757,-1.095237388265708,24.30351528017741,590.660854973817,19.735332241994755,-0.18722897568200514,26.000984406298997,676.0511900966036,20.99572598395515,-0.35886364428631445,25.34021851818444,642.1266745493376,20.513936287705118,-0.29067533029101145
37.637001101900296,1416.5438519444442,30.138433333333335,-2.1134252197289256,32.77523891132518,1074.2162856944444,26.347625,-1.3610226190553427,34.15819076867957,1166.781996589506,27.483702777777776,-1.564473022928985,28.953241044345045,838.2901669719465,26.539931181442743,-0.8424800218635171,25.902222922314657,670.9251523172828,22.813875754856255,-0.4746280441002708,26.99613699608644,728.791412711467,24.134760460037512,-0.6018124402877598
